date,time,hour,day_of_the_week,food_item_name,food_item_category,food_item_price,table_capacity,order_type,quantity,datetime,day_type
2025-07-16,22:32:00,22,Wednesday,Butter Roast,Dosai Varities,140,4.0,Dine In,1,2025-07-16 22:32:00,Weekday
2025-07-16,22:32:00,22,Wednesday,Gobi Butter Roast,Dosai Varities,160,4.0,Dine In,1,2025-07-16 22:32:00,Weekday
2025-07-16,22:32:00,22,Wednesday,Bangalore Podi Dosa with Pure Ghee,Rasi's Special,90,4.0,Dine In,1,2025-07-16 22:32:00,Weekday
2025-07-16,22:32:00,22,Wednesday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,4.0,Dine In,1,2025-07-16 22:32:00,Weekday
2025-07-16,22:32:00,22,Wednesday,Garlic Podi Roast,Dosai Varities,120,4.0,Dine In,1,2025-07-16 22:32:00,Weekday
2025-07-16,20:22:00,20,Wednesday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,4.0,Dine In,1,2025-07-16 20:22:00,Weekday
2025-07-16,20:22:00,20,Wednesday,Garlic Podi Roast,Dosai Varities,120,4.0,Dine In,1,2025-07-16 20:22:00,Weekday
2025-07-16,20:20:00,20,Wednesday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,1,2025-07-16 20:20:00,Weekday
2025-07-16,20:20:00,20,Wednesday,Bangalore Podi Dosa with Pure Ghee,Rasi's Special,90,,Take Away,1,2025-07-16 20:20:00,Weekday
2025-07-16,20:20:00,20,Wednesday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,1,2025-07-16 20:20:00,Weekday
2025-07-16,20:20:00,20,Wednesday,Bangalore Podi Dosa with Pure Ghee,Rasi's Special,90,,Take Away,1,2025-07-16 20:20:00,Weekday
2025-05-16,12:38:00,12,Friday,Mushroom 65,Soup(Veg & Non Veg),150,4.0,Dine In,1,2025-05-16 12:38:00,Weekday
2025-05-16,11:54:00,11,Friday,Ghee Roast,Dosai Varities,120,4.0,Dine In,1,2025-05-16 11:54:00,Weekday
2025-05-16,11:53:00,11,Friday,Curd Rice,Rice&Biriyani,50,4.0,Dine In,1,2025-05-16 11:53:00,Weekday
2025-05-16,11:53:00,11,Friday,Lemon Rice,Rice&Biriyani,50,4.0,Dine In,1,2025-05-16 11:53:00,Weekday
2025-05-16,11:07:00,11,Friday,llai,Others,10,4.0,Dine In,1,2025-05-16 11:07:00,Weekday
2025-05-16,11:07:00,11,Friday,Water,Others,10,4.0,Dine In,1,2025-05-16 11:07:00,Weekday
2025-05-16,11:01:00,11,Friday,Idli,Idli,10,4.0,Dine In,1,2025-05-16 11:01:00,Weekday
2025-05-16,11:01:00,11,Friday,Star Idli,Idli,20,4.0,Dine In,1,2025-05-16 11:01:00,Weekday
2025-05-16,00:05:00,0,Friday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,4.0,Dine In,1,2025-05-16 00:05:00,Weekday
2025-05-16,00:04:00,0,Friday,Chicken Omlet,Egg,200,12.0,Dine In,1,2025-05-16 00:04:00,Weekday
2025-05-16,00:03:00,0,Friday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,,Take Away,1,2025-05-16 00:03:00,Weekday
2025-05-15,23:58:00,23,Thursday,Garlic Podi Roast,Dosai Varities,120,4.0,Dine In,1,2025-05-15 23:58:00,Weekday
2025-05-15,23:47:00,23,Thursday,Bun Parota,Parrota,50,4.0,Dine In,1,2025-05-15 23:47:00,Weekday
2025-05-15,23:43:00,23,Thursday,Kadai Mushroom,Veg & Non-Veg Gravy,170,12.0,Dine In,1,2025-05-15 23:43:00,Weekday
2025-05-15,23:43:00,23,Thursday,Grill Chicken Full,Tandoori & Tikka,480,12.0,Dine In,1,2025-05-15 23:43:00,Weekday
2025-05-15,23:38:00,23,Thursday,Gobi 65,Soup(Veg & Non Veg),120,12.0,Dine In,1,2025-05-15 23:38:00,Weekday
2025-05-15,23:38:00,23,Thursday,Full Boil,Egg,20,12.0,Dine In,1,2025-05-15 23:38:00,Weekday
2025-05-15,23:36:00,23,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,4.0,Dine In,1,2025-05-15 23:36:00,Weekday
2025-05-15,23:31:00,23,Thursday,Bangalore Podi Dosa with Pure Ghee,Rasi's Special,90,4.0,Dine In,1,2025-05-15 23:31:00,Weekday
2025-05-15,20:09:00,20,Thursday,Egg Lappa,Parrota,140,4.0,Dine In,1,2025-05-15 20:09:00,Weekday
2025-05-15,19:41:00,19,Thursday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,4.0,Dine In,1,2025-05-15 19:41:00,Weekday
2025-05-15,19:08:00,19,Thursday,Butter Roast,Dosai Varities,140,4.0,Dine In,1,2025-05-15 19:08:00,Weekday
2025-05-15,18:19:00,18,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,2,2025-05-15 18:19:00,Weekday
2025-05-15,18:17:00,18,Thursday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,,Take Away,2,2025-05-15 18:17:00,Weekday
2025-05-15,17:59:00,17,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,2,2025-05-15 17:59:00,Weekday
2025-05-15,17:58:00,17,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,2,2025-05-15 17:58:00,Weekday
2025-05-15,17:56:00,17,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,2,2025-05-15 17:56:00,Weekday
2025-05-15,17:52:00,17,Thursday,Bangalore Masala Dosa with Pure Ghee,Rasi's Special,70,,Take Away,1,2025-05-15 17:52:00,Weekday
2025-05-15,17:50:00,17,Thursday,Bangalore Podi Dosa with Pure Ghee,Rasi's Special,90,,Take Away,2,2025-05-15 17:50:00,Weekday
2025-05-15,17:47:00,17,Thursday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,,Take Away,2,2025-05-15 17:47:00,Weekday
2025-05-15,17:40:00,17,Thursday,Mysore Masala Dosa with Pure Ghee,Rasi's Special,80,,Take Away,2,2025-05-15 17:40:00,Weekday
